record_id,trailer_id,load_type,priority,carrier,arrival_hour,scheduled_hour,eta_variance_mins,dwell_minutes,inventory_urgency,perishable_flag,current_yard_slot,distance_to_docks_m,yard_congestion_pct,candidate_dock_id,dock_type,dock_capability_match,dock_status,queue_length,expected_wait_mins,dock_utilization_pct,successful_allocation,selected_dock,selected_yard_slot,operational_delay_mins
REC-0001,TR-101,REFRIGERATED,CRITICAL,BlueLine Logistics,14,15,10,112,100,1,A42,35,45,D04,REFRIGERATED,1,AVAILABLE,0,0,65,1,D04,A42,0
REC-0002,TR-102,DRY_VAN,HIGH,SwiftHaul Freight,10,10,0,45,50,0,A01,75,50,D01,STANDARD,1,AVAILABLE,0,0,55,1,D01,A01,0
REC-0003,TR-103,REFRIGERATED,CRITICAL,Prime ColdChain Inc,15,15,15,95,100,1,A42,42,60,D05,REFRIGERATED,1,AVAILABLE,0,0,70,1,D05,A42,0
REC-0004,TR-104,HAZMAT,HIGH,TransRoute Express,11,12,-20,15,50,0,C01,110,55,D03,HEAVY_DUTY,1,OCCUPIED,1,35,80,1,D03,C01,0
REC-0005,TR-105,FLATBED,STANDARD,SwiftHaul Freight,8,9,10,60,20,0,A03,80,40,D03,HEAVY_DUTY,1,AVAILABLE,0,0,45,1,D03,A03,0
REC-0006,TR-106,REFRIGERATED,CRITICAL,BlueLine Logistics,13,14,10,112,100,1,A42,35,75,D04,REFRIGERATED,1,AVAILABLE,0,0,85,1,D04,A42,0
REC-0007,TR-107,DRY_VAN,STANDARD,TransRoute Express,16,16,-5,20,20,0,A03,65,45,D02,STANDARD,1,AVAILABLE,0,0,40,1,D02,A03,0
REC-0008,TR-108,HAZMAT,HIGH,TransRoute Express,9,10,15,40,50,0,C01,110,60,D06,HEAVY_DUTY,1,MAINTENANCE,0,999,90,0,D03,C01,35
REC-0009,TR-109,REFRIGERATED,HIGH,Prime ColdChain Inc,12,13,-10,110,50,1,B01,55,70,D05,REFRIGERATED,1,AVAILABLE,0,0,75,1,D05,B01,0
REC-0010,TR-110,REFRIGERATED,CRITICAL,BlueLine Logistics,14,15,5,105,100,1,A42,35,80,D04,REFRIGERATED,1,BLOCKED,0,999,90,0,D05,A42,20
